TRAINING HOURS,,7
,,
DAY 94,,
EVENT,TYPE,HOURS
A9.160,MSN PLN,3
A9.170,AC SUW 5,5
,,
,,
,,
,,
TRAINING HOURS,,8
,,
DAY 99,,
EVENT,TYPE,HOURS
A9.300,MSN PLN,3
A9.310,NATS 240 2,3
,,
,,
,,
,,
TRAINING HOURS,,6
,,
DAY 104,,
EVENT,TYPE,HOURS
A10.010,CAI,3
A10.020,ICW,1
A10.030,ICW,1
A10.040,ICW,1
A10.050,SUW,2
,CHALK TALK,
TRAINING HOURS,,8
,,
DAY 109,,
EVENT,TYPE,HOURS
A10.130,MSN PLN,3
A10.135,CST SUW,4
,,
TRAINING HOURS,,7
,,
DAY 114,,
EVENT,TYPE,HOURS
A4.220,MSN PLN,3
A4.230,AC NVD 2,5
,,
,,
TRAINING HOURS,,8
,,
DAY 119,,
EVENT,TYPE,HOURS
A11.190,IGR ,3
A11.200,CRT,0.5
A12.010,CAI,0.5
A12.020,ASW INTEL CAI,0.5
A12.030,ASW INTEL CAI,0.5
A12.040,ASW INTEL CAI,1
A12.050,ICW,2
TRAINING HOURS,,8
,,
DAY 124,,
EVENT,TYPE,HOURS
A12.190,PTT 11,
A12.200,MSN PLN,3
A12.210,WTT 12,4
,,
TRAINING HOURS,,7
,,
DAY 129,,
EVENT,TYPE,HOURS
A13.080,ICW,2
A13.090,ICW,1
A13.100,ICW,1
A13.110,CAI,2
A13.250,ICW,2
TRAINING HOURS,,8
,,
DAY 134,,
EVENT,TYPE,HOURS
A13.210,MSN PLN,3
A13.220,WTT 16,4
,,
TRAINING HOURS,,7
,,
DAY 139,,
EVENT,TYPE,HOURS
A14.030,ICW,2
A14.040,ICW,2
A14.050,ICW ,2
A14.060,PTT 12,2
TRAINING HOURS,,8
,,
DAY 144,,
EVENT,TYPE,HOURS
A14.220,IGR,3
,NAWS PART 2,
A15.010,CAI,3
A15.020,PTT 14,2
TRAINING HOURS,,8
,,
DAY 149,,
EVENT,TYPE,HOURS
A15.110,MSN PLN,3
A15.120,WTT 28,4
,,
TRAINING HOURS,,7
,,
DAY 154,,
EVENT,TYPE,HOURS
A16.110,MSN PLN,3
A16.120,CST 9,4
,,
TRAINING HOURS,,7
,,
DAY 159,,
